category,Name,nickname,article link,source,Main sources for the website list
news,Yahoo News,yan0,https://news.yahoo.com/news/sports/mma/article/ufc-legend-bj-penn-arrested-for-3rd-time-in-6-days-over-claims-of-family-being-replaced-with-imposters-205824657.html,https://news.yahoo.com/,https://bloggingjoy.com/top-news-websites/
news,google news,gon0,,https://news.google.com/home?hl=en-US&gl=US&ceid=US:en,https://www.techworm.net/2021/12/unbiased-news-sources.html
news,CNN,cnn0,https://www.cnn.com/2025/06/01/politics/cnn-poll-republicans-democrats,https://www.cnn.com/,https://www.goodwall.io/blog/best-tech-websites/
news,BBC,bbc0,https://www.bbc.com/news/articles/c87jpvely07o,https://www.bbc.com/news,https://news.feedspot.com/food_news_websites/
news,The NewYork Times,tnyt0,https://www.nytimes.com/2025/06/01/us/california-democrats-kamala-harris-governor.html,https://www.nytimes.com/,https://news.feedspot.com/sports_news_websites/
news,The Fox News,tfn0,https://www.foxnews.com/entertainment/whitney-houston-mike-myers-name-dropped-diddys-high-profile-sex-trafficking-trial,https://www.foxnews.com/,https://news.feedspot.com/fashion_news_websites/
news,The Guardian,tgu0,https://www.theguardian.com/us-news/2025/jun/01/russell-vought-congress-federal-workforce,https://www.theguardian.com/us,https://masterblogging.com/best-travel-blogs/
news,Reuters,reu0,https://www.reuters.com/world/us/us-supreme-court-lets-trump-end-deportation-protection-venezuelans-2025-05-19/,https://www.reuters.com/,https://www.myglobalviewpoint.com/travel-blogs/
news,NBC News,nbc0,https://www.nbcnews.com/politics/congress/mike-johnson-medicaid-recipients-will-choose-whether-lose-healthcare-rcna210207,https://www.nbcnews.com/,https://www.travelpayouts.com/blog/famous-travel-bloggers/
news,Al Jazeera,alj0,https://www.aljazeera.com/news/liveblog/2025/6/1/live-israel-pounds-gaza-hamas-seeks-changes-to-us-ceasefire-proposal?update=3746371,https://www.aljazeera.com/,
news,The Washington Post,twp0,https://www.washingtonpost.com/world/2025/06/01/violence-paris-psg-champions-league-final/,https://www.washingtonpost.com/,
news,Bloomberg,blo0,https://www.bloomberg.com/opinion/articles/2025-05-30/could-sheinbaum-be-mexico-s-agent-of-change?srnd=homepage-americas,https://www.bloomberg.com/,
